timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-02T13:56:45.709034,0.0,0,3.4,0.0,1000.0,0.05,0,100,100,0,60.0,2026-05-02T13:57:45.708889,4.237
2026-05-02T13:56:45.779074,0.0,0,3.39,0.0,1000.0,0.05,4.199,100,100,0,60.0,2026-05-02T13:57:45.778923,4.249
2026-05-02T13:56:46.753278,51.3,0.5718,53.89,0.4429,1000.0,0.05,4.199,91.2,100,0,60.0,2026-05-02T13:57:46.753020,4.258
2026-05-02T13:56:46.886926,51.3,0.5718,53.89,0.5299,1000.0,0.05,4.199,91.2,100,0,60.0,2026-05-02T13:57:46.886496,4.258
2026-05-02T13:56:47.762008,51.3,0.5718,53.92,0.5567,1000.0,0.05,4.199,91.2,100,0,60.0,2026-05-02T13:57:47.761798,4.259
2026-05-02T13:56:47.841904,51.31,0.5709,54.04,0.5687,1000.0,0.03,4.199,91.2,100,0,60.0,2026-05-02T13:57:47.841736,4.239
2026-05-02T13:56:47.922718,51.31,0.5709,54.04,0.5727,1000.0,0.03,4.199,91.2,100,0,60.0,2026-05-02T13:57:47.922560,4.239
2026-05-02T13:56:48.827840,51.31,0.5709,54.05,0.5759,1000.0,0.03,4.199,91.2,100,0,60.0,2026-05-02T13:57:48.827663,4.24
2026-05-02T13:56:48.905704,51.31,0.5652,54.05,0.5746,1000.0,0.03,4.199,91.2,100,0,60.0,2026-05-02T13:57:48.905538,4.24
2026-05-02T13:56:48.985347,51.31,0.5652,54.04,0.5741,1000.0,0.03,4.199,91.2,100,0,60.0,2026-05-02T13:57:48.985037,4.239
2026-05-02T13:56:49.886516,51.34,0.5574,54.06,0.5724,1000.0,0.03,4.199,91.2,100,0,60.0,2026-05-02T13:57:49.886339,4.24
2026-05-02T13:56:49.962871,51.34,0.5576,54.13,0.5694,1000.0,0.02,4.199,91.2,100,0,60.0,2026-05-02T13:57:49.962681,4.23
2026-05-02T13:56:50.041332,51.34,0.5576,54.13,0.5681,1000.0,0.02,4.199,91.2,100,0,60.0,2026-05-02T13:57:50.041143,4.229
2026-05-02T13:56:50.944078,51.34,0.5576,54.14,0.5667,1000.0,0.02,4.199,91.2,100,0,60.0,2026-05-02T13:57:50.943894,4.23
2026-05-02T13:56:51.023300,51.34,0.561,54.2,0.568,1000.0,0.01,4.199,91.2,100,0,60.0,2026-05-02T13:57:51.022595,4.22
2026-05-02T13:56:51.265125,51.34,0.561,54.2,0.5685,1000.0,0.01,4.199,91.2,100,0,60.0,2026-05-02T13:57:51.264956,4.219
2026-05-02T13:56:51.993201,51.34,0.5534,54.2,0.5681,1000.0,0.01,4.199,91.2,100,0,60.0,2026-05-02T13:57:51.993045,4.22
2026-05-02T13:56:52.071582,51.34,0.5534,54.2,0.5654,1000.0,0.01,4.199,91.2,100,0,60.0,2026-05-02T13:57:52.071416,4.219
2026-05-02T13:56:52.154337,51.34,0.5534,54.19,0.5641,1000.0,0.01,4.199,91.2,100,0,60.0,2026-05-02T13:57:52.154145,4.219
2026-05-02T13:56:53.115264,51.34,0.5493,54.21,0.5602,1000.0,0.01,4.199,91.2,100,0,60.0,2026-05-02T13:57:53.089980,4.219
2026-05-02T13:56:53.294633,51.34,0.5493,52.21,0.5534,1000.0,0.34,4.199,91.2,100,0,60.0,2026-05-02T13:57:53.294437,4.544
2026-05-02T13:56:54.060921,51.34,0.5493,52.21,0.5528,1000.0,0.34,4.199,91.2,100,0,60.0,2026-05-02T13:57:54.060743,4.548
2026-05-02T13:56:54.149189,51.37,0.4741,52.21,0.5273,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:54.148387,4.547
2026-05-02T13:56:54.227597,51.37,0.4741,52.22,0.5076,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:54.227440,4.547
2026-05-02T13:56:55.134660,51.38,0.4741,52.23,0.4921,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:55.121040,4.551
2026-05-02T13:56:55.398519,51.38,0.1779,52.51,0.3491,1000.0,0.29,4.199,91.1,100,0,60.0,2026-05-02T13:57:55.385900,4.501
2026-05-02T13:56:55.625097,51.38,0.1779,52.51,0.2711,1000.0,0.29,4.199,91.1,100,0,60.0,2026-05-02T13:57:55.624944,4.501
2026-05-02T13:56:56.162295,51.39,0.1779,52.52,0.2282,1000.0,0.29,4.199,91.1,100,0,60.0,2026-05-02T13:57:56.162121,4.502
2026-05-02T13:56:56.250941,51.39,0.1678,52.52,0.2021,1000.0,0.29,4.199,91.1,100,0,60.0,2026-05-02T13:57:56.250748,4.501
2026-05-02T13:56:56.328105,51.39,0.1678,52.52,0.1908,1000.0,0.29,4.199,91.1,100,0,60.0,2026-05-02T13:57:56.327930,4.5
2026-05-02T13:56:57.224570,51.41,0.1668,52.54,0.1796,1000.0,0.29,4.199,91.1,100,0,60.0,2026-05-02T13:57:57.224408,4.502
2026-05-02T13:56:57.298765,51.41,0.1713,52.25,0.1761,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:57.298454,4.55
2026-05-02T13:56:57.375367,51.41,0.1713,52.25,0.1752,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:57.375205,4.549
2026-05-02T13:56:58.276845,51.42,0.1713,52.26,0.1742,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:58.276658,4.552
2026-05-02T13:56:58.353056,51.42,0.1729,52.26,0.1745,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:58.352869,4.551
2026-05-02T13:56:58.429731,51.42,0.1729,52.26,0.1747,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:58.429575,4.55
2026-05-02T13:56:59.431355,51.44,0.1753,52.28,0.1753,1000.0,0.34,4.199,91.1,100,0,60.0,2026-05-02T13:57:59.413424,4.552
2026-05-02T13:56:59.593364,51.44,0.1753,52.28,0.1763,1000.0,0.34,4.199,91.1,91,0,60.0,2026-05-02T13:57:59.593156,4.552
2026-05-02T13:57:00.348150,51.44,0.1753,52.29,0.1769,1000.0,0.34,4.199,91.1,91,0,60.0,2026-05-02T13:58:00.347982,4.554
2026-05-02T13:57:00.426038,51.46,0.1771,52.3,0.1772,1000.0,0.34,4.199,91.1,91,0,60.0,2026-05-02T13:58:00.425851,4.552
2026-05-02T13:57:00.503158,51.46,0.1771,52.3,0.178,1000.0,0.34,4.199,91.1,91,0,60.0,2026-05-02T13:58:00.502984,4.551
2026-05-02T13:57:01.408288,51.49,0.1771,52.31,0.1786,1000.0,0.34,4.199,91.1,92,0,60.0,2026-05-02T13:58:01.408150,4.554
2026-05-02T13:57:01.487531,51.49,0.183,52.32,0.1804,1000.0,0.34,4.199,91.1,92,0,60.0,2026-05-02T13:58:01.487352,4.552
2026-05-02T13:57:01.564119,51.49,0.183,52.33,0.1822,1000.0,0.34,4.199,91.1,92,0,60.0,2026-05-02T13:58:01.563963,4.551
2026-05-02T13:57:02.464213,51.52,0.1771,52.35,0.1829,1000.0,0.34,4.199,91.1,92,0,60.0,2026-05-02T13:58:02.464018,4.554
