timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-02T13:44:12.826793,30.77,0,30.77,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T13:45:12.826634,4.206
2026-05-02T13:44:12.885622,30.77,0,30.56,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T13:45:12.885461,4.199
2026-05-02T13:44:12.945621,30.77,0,30.64,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T13:45:12.945477,4.199
2026-05-02T13:44:13.005836,30.77,0,30.68,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T13:45:13.005695,4.199
2026-05-02T13:44:13.075081,30.77,0,30.7,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T13:45:13.074909,4.199
2026-05-02T13:44:13.141549,30.77,0.4851,30.72,0.0323,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T13:45:13.141112,4.199
2026-05-02T13:44:13.265238,30.77,0.4851,29.81,0.1624,0.0,0.86,0,0.0,100,0,60.0,2026-05-02T13:45:13.265080,5.061
2026-05-02T13:44:13.343387,30.77,0.4851,29.82,0.2529,0.0,0.86,0,0.0,100,0,60.0,2026-05-02T13:45:13.343265,5.062
2026-05-02T13:44:14.127549,30.77,0.4867,29.82,0.38,0.0,0.86,0,0.0,100,0,60.0,2026-05-02T13:45:14.127290,5.07
2026-05-02T13:44:14.231445,30.77,0.4867,29.83,0.4237,0.0,0.86,0,0.0,100,0,60.0,2026-05-02T13:45:14.231262,5.07
2026-05-02T13:44:14.950962,30.77,0.4867,29.83,0.4502,0.0,0.86,0,0.0,100,0,60.0,2026-05-02T13:45:14.950587,5.077
2026-05-02T13:44:15.066251,30.77,0.4876,30.03,0.469,0.0,0.65,0,0.0,100,0,60.0,2026-05-02T13:45:15.066070,4.865
2026-05-02T13:44:15.155003,30.77,0.4876,30.04,0.4758,0.0,0.65,0,0.0,100,0,60.0,2026-05-02T13:45:15.154840,4.863
2026-05-02T13:44:15.973091,30.72,0.4876,30.03,0.481,0.0,0.65,0,0.0,100,0,60.0,2026-05-02T13:45:15.972732,4.868
2026-05-02T13:44:16.059551,30.72,0.0422,30.19,0.2647,0.0,0.48,0,0.0,100,0,60.0,2026-05-02T13:45:16.059402,4.695
2026-05-02T13:44:16.138847,30.72,0.0422,30.18,0.1814,0.0,0.48,0,0.0,100,0,60.0,2026-05-02T13:45:16.138687,4.693
2026-05-02T13:44:17.026373,30.66,0.0422,30.16,0.1055,0.0,0.48,0,0.0,100,0,60.0,2026-05-02T13:45:17.026207,4.696
2026-05-02T13:44:17.329826,30.66,0.0377,30.26,0.0723,0.0,0.36,0,0.0,100,0,60.0,2026-05-02T13:45:17.311340,4.574
2026-05-02T13:44:17.475765,30.66,0.0377,30.25,0.0559,0.0,0.36,0,0.0,100,0,60.0,2026-05-02T13:45:17.475575,4.572
2026-05-02T13:44:18.070580,30.61,0.0377,30.24,0.0467,0.0,0.36,0,0.0,100,0,60.0,2026-05-02T13:45:18.070396,4.573
2026-05-02T13:44:18.184721,30.61,0.0161,30.32,0.0341,0.0,0.27,0,0.0,100,0,60.0,2026-05-02T13:45:18.184465,4.481
2026-05-02T13:44:18.311754,30.61,0.0161,30.31,0.0271,0.0,0.27,0,0.0,100,0,60.0,2026-05-02T13:45:18.311350,4.479
2026-05-02T13:44:19.140802,30.56,0.0143,30.29,0.0206,0.0,0.27,0,0.0,100,0,60.0,2026-05-02T13:45:19.140641,4.48
2026-05-02T13:44:19.216007,30.56,0.0143,30.34,0.0176,0.0,0.2,0,0.0,100,0,60.0,2026-05-02T13:45:19.215852,4.408
2026-05-02T13:44:19.290527,30.56,0.0143,30.34,0.0163,0.0,0.2,0,0.0,100,0,60.0,2026-05-02T13:45:19.290375,4.407
2026-05-02T13:44:20.190185,30.52,0.0075,30.32,0.0131,0.0,0.2,0,0.0,100,0,60.0,2026-05-02T13:45:20.189943,4.408
2026-05-02T13:44:20.268283,30.52,0.0152,30.36,0.014,0.0,0.15,0,0.0,100,0,60.0,2026-05-02T13:45:20.268111,4.356
2026-05-02T13:44:20.366864,30.52,0.0152,30.35,0.0143,0.0,0.15,0,0.0,100,0,60.0,2026-05-02T13:45:20.366482,4.355
2026-05-02T13:44:21.277208,30.48,0.0126,30.33,0.0133,0.0,0.15,0,0.0,100,0,60.0,2026-05-02T13:45:21.276915,4.356
2026-05-02T13:44:21.416385,30.48,0.0126,30.37,0.013,0.0,0.11,0,0.0,100,0,60.0,2026-05-02T13:45:21.416145,4.315
2026-05-02T13:44:21.556530,30.48,0.0126,30.36,0.0128,0.0,0.11,0,0.0,100,0,60.0,2026-05-02T13:45:21.556239,4.314
2026-05-02T13:44:22.293765,30.44,0.0126,30.34,0.0124,0.0,0.11,0,0.0,100,0,60.0,2026-05-02T13:45:22.293562,4.314
2026-05-02T13:44:22.368698,30.44,0.0126,30.34,0.0124,0.0,0.09,0,0.0,100,0,60.0,2026-05-02T13:45:22.368525,4.293
2026-05-02T13:44:23.302072,30.44,0.0126,30.34,0.0124,0.0,0.09,0,0.0,100,0,60.0,2026-05-02T13:45:23.301879,4.294
2026-05-02T13:44:23.375202,30.41,0,30.36,0.0,0.0,0.06,0,0.0,100,0,60.0,2026-05-02T13:45:23.375041,4.263
2026-05-02T13:44:23.447673,30.41,0,30.35,0.0,0.0,0.06,0,0.0,100,0,60.0,2026-05-02T13:45:23.447511,4.262
2026-05-02T13:44:24.353157,30.41,0,30.34,0.0,0.0,0.06,0,0.0,100,0,60.0,2026-05-02T13:45:24.352985,4.262
2026-05-02T13:44:24.427204,30.38,0,30.33,0.0,0.0,0.06,0,0.0,100,0,60.0,2026-05-02T13:45:24.427047,4.262
2026-05-02T13:44:24.501477,30.38,0,30.32,0.0,0.0,0.06,0,0.0,100,0,60.0,2026-05-02T13:45:24.501314,4.261
2026-05-02T13:44:25.407531,30.36,0,30.31,0.0,0.0,0.06,0,0.0,100,0,60.0,2026-05-02T13:45:25.407370,4.261
2026-05-02T13:44:25.493713,30.36,0,29.86,0.0,0.0,0.47,0,0.0,100,0,60.0,2026-05-02T13:45:25.493530,4.671
2026-05-02T13:44:25.667681,30.36,0,29.86,0.0,0.0,0.47,0,0.0,100,0,60.0,2026-05-02T13:45:25.642886,4.671
2026-05-02T13:44:26.467635,30.35,0,29.85,0.0,0.0,0.47,0,0.0,100,0,60.0,2026-05-02T13:45:26.467457,4.677
2026-05-02T13:44:26.543721,30.35,0,29.22,0.0,0.0,1.22,0,0.0,100,0,60.0,2026-05-02T13:45:26.543552,5.427
2026-05-02T13:44:26.616875,30.35,0,29.22,0.0,0.0,1.22,0,0.0,100,0,60.0,2026-05-02T13:45:26.616688,5.427
2026-05-02T13:44:27.523324,30.31,0,29.19,0.0,0.0,1.22,0,0.0,100,0,60.0,2026-05-02T13:45:27.523000,5.441
2026-05-02T13:44:27.770062,30.31,0,29.05,0.0,0.0,1.41,0,0.0,100,0,60.0,2026-05-02T13:45:27.751067,5.631
2026-05-02T13:44:27.881551,30.31,0,29.04,0.0,0.0,1.41,0,0.0,100,0,60.0,2026-05-02T13:45:27.881384,5.631
2026-05-02T13:44:28.578897,30.28,0,29.04,0.0,0.0,1.41,0,0.0,100,0,60.0,2026-05-02T13:45:28.578739,5.64
2026-05-02T13:44:28.653476,30.28,0,28.93,0.0,0.0,1.56,0,0.0,100,0,60.0,2026-05-02T13:45:28.653302,5.786
2026-05-02T13:44:29.662568,30.28,0,28.92,0.0,0.0,1.56,0,0.0,100,0,60.0,2026-05-02T13:45:29.656201,5.805
2026-05-02T13:44:29.848590,30.26,0,28.83,0.0,0.0,1.7,0,0.0,100,0,60.0,2026-05-02T13:45:29.848417,5.94
2026-05-02T13:44:29.923203,30.26,0,28.83,0.0,0.0,1.7,0,0.0,100,0,60.0,2026-05-02T13:45:29.923059,5.934
2026-05-02T13:44:30.649586,30.22,0,28.82,0.0,0.0,1.7,0,0.0,100,0,60.0,2026-05-02T13:45:30.649273,5.946
2026-05-02T13:44:30.832568,30.22,0,28.67,0.0,0.0,1.94,0,0.0,100,0,60.0,2026-05-02T13:45:30.832372,6.077
2026-05-02T13:44:31.344511,30.22,0,28.66,0.0,0.0,1.94,0,0.0,100,0,60.0,2026-05-02T13:45:31.344065,6.077
2026-05-02T13:44:31.707742,30.18,0,28.65,0.0,0.0,1.94,0,0.0,100,0,60.0,2026-05-02T13:45:31.707588,6.077
2026-05-02T13:44:31.780065,30.18,0,28.51,0.0,0.0,2.19,0,0.0,100,0,60.0,2026-05-02T13:45:31.779944,6.077
2026-05-02T13:44:31.850653,30.18,0,28.51,0.0,0.0,2.19,0,0.0,100,0,60.0,2026-05-02T13:45:31.850528,6.077
2026-05-02T13:44:32.749101,30.12,0,28.48,0.0,0.0,2.19,0,0.0,100,0,60.0,2026-05-02T13:45:32.748908,6.077
2026-05-02T13:44:32.819486,30.12,0,28.37,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:32.819363,6.077
2026-05-02T13:44:32.891185,30.12,0,28.37,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:32.891038,6.077
2026-05-02T13:44:33.820634,30.06,0,28.34,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:33.820499,6.077
2026-05-02T13:44:33.890982,30.06,0,28.34,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:33.890862,6.077
2026-05-02T13:44:34.824629,30.06,0,28.32,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:34.824452,6.077
2026-05-02T13:44:34.896447,29.98,0,28.29,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:34.896309,6.077
2026-05-02T13:44:34.965559,29.98,0,28.28,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:34.965438,6.077
2026-05-02T13:44:35.874634,29.92,0,28.26,0.0,0.0,2.38,0,0.0,100,0,60.0,2026-05-02T13:45:35.874479,6.077
2026-05-02T13:44:35.946332,29.92,0,28.27,0.0,0.0,2.33,0,0.0,100,0,60.0,2026-05-02T13:45:35.946198,6.077
2026-05-02T13:44:36.016152,29.92,0,28.26,0.0,0.0,2.33,0,0.0,100,0,60.0,2026-05-02T13:45:36.016039,6.077
2026-05-02T13:44:36.942651,29.85,0,28.24,0.0,0.0,2.33,0,0.0,100,0,60.0,2026-05-02T13:45:36.942492,6.077
2026-05-02T13:44:37.013842,29.85,0,28.22,0.0,0.0,2.33,0,0.0,100,0,60.0,2026-05-02T13:45:37.013709,6.077
2026-05-02T13:44:37.083047,29.85,0,28.21,0.0,0.0,2.33,0,0.0,100,0,60.0,2026-05-02T13:45:37.082941,6.077
