timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-26T21:23:20.486466,90.99,0.04,90.99,0.0067,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T21:24:20.486315,4.34
2026-04-26T21:23:20.530241,90.99,0.04,93.28,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:20.530088,4.225
2026-04-26T21:23:21.566293,90.99,0.04,93.31,0.0118,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:21.555442,4.225
2026-04-26T21:23:21.621670,91.04,0.04,93.32,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:21.621543,4.225
2026-04-26T21:23:21.666067,91.04,0.04,93.33,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:21.665943,4.225
2026-04-26T21:23:22.586603,91.04,0.04,93.35,0.0118,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:22.586482,4.225
2026-04-26T21:23:22.632206,91.04,0.04,93.34,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:22.632064,4.225
2026-04-26T21:23:22.677774,91.04,0.04,93.34,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:22.677511,4.225
2026-04-26T21:23:23.649866,91.07,0.04,93.36,0.0118,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:23.649652,4.225
2026-04-26T21:23:23.691696,91.07,0.04,93.36,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:23.691576,4.225
2026-04-26T21:23:23.735116,91.07,0.04,93.36,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:23.734827,4.225
2026-04-26T21:23:24.723931,91.07,0.04,93.38,0.0118,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:24.723761,4.225
2026-04-26T21:23:24.766805,91.07,0.04,93.37,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:24.766650,4.225
2026-04-26T21:23:24.811500,91.07,0.04,93.37,0.0119,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:24.811260,4.225
2026-04-26T21:23:25.784135,91.09,0.04,93.39,0.0118,1000.0,0.01,4.199,85.2,100,0,60.0,2026-04-26T21:24:25.783922,4.225
2026-04-26T21:23:25.813759,91.09,0.04,93.53,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:25.813614,4.216
2026-04-26T21:23:26.798573,91.09,0.04,93.56,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:26.798310,4.216
2026-04-26T21:23:26.834385,91.11,0.04,93.55,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:26.834250,4.216
2026-04-26T21:23:26.863524,91.11,0.04,93.55,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:26.863391,4.216
2026-04-26T21:23:27.853501,91.12,0.04,93.57,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:27.853346,4.216
2026-04-26T21:23:27.882953,91.12,0.04,93.56,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:27.882820,4.216
2026-04-26T21:23:27.912924,91.12,0.04,93.56,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:27.912790,4.216
2026-04-26T21:23:28.925007,91.12,0.04,93.58,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:28.924813,4.216
2026-04-26T21:23:28.956878,91.12,0.04,93.57,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:28.956714,4.216
2026-04-26T21:23:28.987205,91.12,0.04,93.56,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:28.987051,4.216
2026-04-26T21:23:29.987279,91.16,0.04,93.59,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:29.987075,4.216
2026-04-26T21:23:30.016032,91.16,0.04,93.59,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:30.015838,4.216
2026-04-26T21:23:30.044953,91.16,0.04,93.59,0.0122,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:30.044831,4.216
2026-04-26T21:23:31.040544,91.17,0.04,93.61,0.0121,1000.0,0.0,4.199,85.2,100,0,60.0,2026-04-26T21:24:31.040370,4.216
