timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-26T21:11:17.005638,64.8,0,64.8,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T21:12:17.005468,4.269
2026-04-26T21:11:17.051179,64.8,0,66.47,0.0021,1000.0,0.11,4.2,91.1,100,0,60.0,2026-04-26T21:12:17.051052,4.318
2026-04-26T21:11:18.061274,64.8,0,66.49,0.0021,1000.0,0.11,4.199,91.1,100,0,60.0,2026-04-26T21:12:18.061085,4.319
2026-04-26T21:11:18.107020,64.81,0,66.49,0.0021,1000.0,0.11,4.201,91.1,100,0,60.0,2026-04-26T21:12:18.106883,4.319
2026-04-26T21:11:18.148089,64.81,0,66.49,0.0021,1000.0,0.11,4.199,91.1,100,0,60.0,2026-04-26T21:12:18.147977,4.319
2026-04-26T21:11:19.121231,64.81,0,66.5,0.0021,1000.0,0.11,4.199,91.1,100,0,60.0,2026-04-26T21:12:19.120343,4.32
2026-04-26T21:11:19.187081,64.81,0,66.73,0.0024,1000.0,0.08,4.2,91.1,100,0,60.0,2026-04-26T21:12:19.186870,4.29
2026-04-26T21:11:19.239159,64.81,0,66.73,0.0024,1000.0,0.08,4.199,91.1,100,0,60.0,2026-04-26T21:12:19.239009,4.29
2026-04-26T21:11:20.187050,64.82,0,66.75,0.0024,1000.0,0.08,4.199,91.1,100,0,60.0,2026-04-26T21:12:20.186854,4.291
2026-04-26T21:11:20.231325,64.82,0,66.9,0.0026,1000.0,0.06,4.2,91.1,100,0,60.0,2026-04-26T21:12:20.231170,4.271
2026-04-26T21:11:20.277502,64.82,0,66.9,0.0026,1000.0,0.06,4.199,91.1,100,0,60.0,2026-04-26T21:12:20.277330,4.271
2026-04-26T21:11:21.246298,64.82,0,66.91,0.0026,1000.0,0.06,4.199,91.1,100,0,60.0,2026-04-26T21:12:21.246046,4.271
2026-04-26T21:11:21.293133,64.82,0,66.98,0.0027,1000.0,0.05,4.2,91.1,100,0,60.0,2026-04-26T21:12:21.292945,4.261
2026-04-26T21:11:21.337631,64.82,0,66.98,0.0027,1000.0,0.05,4.199,91.1,100,0,60.0,2026-04-26T21:12:21.337503,4.261
2026-04-26T21:11:22.306063,64.83,0,66.99,0.0027,1000.0,0.05,4.199,91.1,100,0,60.0,2026-04-26T21:12:22.305890,4.261
2026-04-26T21:11:22.353101,64.83,0,67.15,0.0029,1000.0,0.03,4.199,91.1,100,0,60.0,2026-04-26T21:12:22.352847,4.242
2026-04-26T21:11:23.335980,64.83,0,67.18,0.0029,1000.0,0.03,4.199,91.1,100,0,60.0,2026-04-26T21:12:23.335783,4.242
2026-04-26T21:11:23.382663,64.85,0,67.17,0.0029,1000.0,0.03,4.199,91.1,100,0,60.0,2026-04-26T21:12:23.382499,4.241
2026-04-26T21:11:23.427236,64.85,0,67.17,0.0029,1000.0,0.03,4.199,91.1,100,0,60.0,2026-04-26T21:12:23.427046,4.241
2026-04-26T21:11:24.406751,64.89,0,67.2,0.0029,1000.0,0.03,4.199,91.1,100,0,60.0,2026-04-26T21:12:24.406472,4.242
2026-04-26T21:11:24.525857,64.89,0,67.29,0.003,1000.0,0.02,4.199,91.1,100,0,60.0,2026-04-26T21:12:24.513063,4.231
2026-04-26T21:11:24.570055,64.89,0,67.29,0.003,1000.0,0.02,4.199,91.1,100,0,60.0,2026-04-26T21:12:24.569911,4.231
2026-04-26T21:11:25.451625,64.92,0,67.32,0.003,1000.0,0.02,4.199,91.1,100,0,60.0,2026-04-26T21:12:25.451367,4.231
2026-04-26T21:11:25.497053,64.92,0,67.4,0.0031,1000.0,0.01,4.199,91.1,100,0,60.0,2026-04-26T21:12:25.496882,4.221
2026-04-26T21:11:25.544137,64.92,0,67.4,0.0031,1000.0,0.01,4.199,91.1,100,0,60.0,2026-04-26T21:12:25.543954,4.221
2026-04-26T21:11:26.513915,64.95,0,67.43,0.0031,1000.0,0.01,4.199,91.1,100,0,60.0,2026-04-26T21:12:26.513748,4.221
2026-04-26T21:11:26.559802,64.95,0,67.43,0.0031,1000.0,0.01,4.199,91.1,100,0,60.0,2026-04-26T21:12:26.559623,4.221
2026-04-26T21:11:26.605475,64.95,0,67.43,0.0031,1000.0,0.01,4.199,91.1,100,0,60.0,2026-04-26T21:12:26.605325,4.22
2026-04-26T21:11:27.591321,64.97,0,67.46,0.0031,1000.0,0.01,4.199,91.0,100,0,60.0,2026-04-26T21:12:27.591138,4.221
2026-04-26T21:11:27.651262,64.97,0,67.46,0.0031,1000.0,0.01,4.199,91.0,100,0,60.0,2026-04-26T21:12:27.651053,4.22
2026-04-26T21:11:28.602497,64.97,0,67.49,0.0031,1000.0,0.01,4.199,91.0,100,0,60.0,2026-04-26T21:12:28.602299,4.221
2026-04-26T21:11:28.646876,65.01,0,67.49,0.0031,1000.0,0.01,4.199,91.0,100,0,60.0,2026-04-26T21:12:28.646733,4.22
2026-04-26T21:11:28.691870,65.01,0,67.49,0.0031,1000.0,0.01,4.199,91.0,100,0,60.0,2026-04-26T21:12:28.691717,4.22
2026-04-26T21:11:29.670921,65.05,0,67.52,0.0031,1000.0,0.01,4.199,91.0,100,0,60.0,2026-04-26T21:12:29.670706,4.221
2026-04-26T21:11:29.707225,65.05,0,67.61,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:29.707069,4.211
2026-04-26T21:11:29.737519,65.05,0,67.61,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:29.737357,4.211
2026-04-26T21:11:30.721081,65.08,0,67.64,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:30.720883,4.211
2026-04-26T21:11:30.759613,65.08,0,67.64,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:30.759438,4.211
2026-04-26T21:11:30.789843,65.08,0,67.64,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:30.789691,4.211
2026-04-26T21:11:31.785750,65.11,0,67.67,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:31.785450,4.211
2026-04-26T21:11:31.816086,65.11,0,67.67,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:31.815972,4.211
2026-04-26T21:11:31.847026,65.11,0,67.67,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:31.846884,4.211
2026-04-26T21:11:32.844144,65.14,0,67.7,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:32.843979,4.211
2026-04-26T21:11:32.874546,65.14,0,67.7,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:32.874370,4.211
2026-04-26T21:11:33.874533,65.14,0,67.74,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:33.874277,4.211
2026-04-26T21:11:33.909929,65.18,0,67.74,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:33.909770,4.211
2026-04-26T21:11:33.951673,65.18,0,67.74,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:33.951396,4.211
2026-04-26T21:11:34.936644,65.2,0,67.77,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:34.936401,4.211
2026-04-26T21:11:34.969076,65.2,0,67.77,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:34.968893,4.211
2026-04-26T21:11:35.008730,65.2,0,67.77,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:35.008564,4.211
2026-04-26T21:11:35.999468,65.22,0,67.79,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:35.999270,4.211
2026-04-26T21:11:36.030297,65.22,0,67.79,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:36.030155,4.211
2026-04-26T21:11:36.060614,65.22,0,67.79,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:36.060479,4.211
2026-04-26T21:11:37.057086,65.24,0,67.81,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:37.056915,4.211
2026-04-26T21:11:37.090662,65.24,0,67.81,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:37.090513,4.211
2026-04-26T21:11:37.125410,65.24,0,67.81,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:37.125253,4.211
2026-04-26T21:11:38.129684,65.25,0,67.83,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:38.129322,4.211
2026-04-26T21:11:38.181972,65.25,0,67.82,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:38.181674,4.211
2026-04-26T21:11:39.150299,65.25,0,67.85,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:39.150025,4.211
2026-04-26T21:11:39.183978,65.27,0,67.84,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:39.183739,4.211
2026-04-26T21:11:39.213865,65.27,0,67.84,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:39.213724,4.211
2026-04-26T21:11:40.210807,65.29,0,67.87,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:40.210565,4.211
2026-04-26T21:11:40.242034,65.29,0,67.86,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:40.241902,4.211
2026-04-26T21:11:40.271521,65.29,0,67.86,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:40.271376,4.211
2026-04-26T21:11:41.275439,65.32,0,67.89,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:41.275220,4.211
2026-04-26T21:11:41.307355,65.32,0,67.88,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:41.307208,4.211
2026-04-26T21:11:41.338165,65.32,0,67.88,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:41.337942,4.211
2026-04-26T21:11:42.326459,65.36,0,67.92,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:42.326301,4.211
2026-04-26T21:11:42.356691,65.36,0,67.92,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:42.356543,4.211
2026-04-26T21:11:42.394125,65.36,0,67.92,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:42.388983,4.211
2026-04-26T21:11:43.395865,65.39,0,67.95,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:43.395696,4.211
2026-04-26T21:11:43.426738,65.39,0,67.95,0.0032,1000.0,0.0,4.199,91.0,100,0,60.0,2026-04-26T21:12:43.426600,4.211
2026-04-26T21:11:44.420563,65.39,0,67.99,0.0032,1000.0,0.0,4.199,91.0,99,0,60.0,2026-04-26T21:12:44.420373,4.211
2026-04-26T21:11:44.456724,65.44,0,67.99,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:44.456576,4.211
2026-04-26T21:11:44.491875,65.44,0,68.0,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:44.491727,4.211
2026-04-26T21:11:45.479819,65.47,0,68.03,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:45.479619,4.211
2026-04-26T21:11:45.537179,65.47,0,68.03,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:45.536972,4.211
2026-04-26T21:11:45.573750,65.47,0,68.03,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:45.573575,4.211
2026-04-26T21:11:46.574589,65.52,0,68.07,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:46.574316,4.211
2026-04-26T21:11:46.673599,65.52,0,68.08,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:46.673161,4.211
2026-04-26T21:11:47.087527,65.52,0,68.09,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:47.085955,4.211
2026-04-26T21:11:47.646787,65.58,0,68.12,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:47.646506,4.211
2026-04-26T21:11:47.715353,65.58,0,68.13,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:47.715066,4.211
2026-04-26T21:11:47.790470,65.58,0,68.14,0.0032,1000.0,0.0,4.199,90.9,99,0,60.0,2026-04-26T21:12:47.790157,4.211
