timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-28T21:31:13.979665,27.1,0.1833,42.43,0.0387,0.0,0.0,0,0.0,100,0,60.0,2026-04-28T21:32:13.979196,4.201
2026-04-28T21:31:14.035284,27.1,0.1833,39.6,0.0207,1000.0,0.0,0,99.5,100,0,60.0,2026-04-28T21:32:14.035127,4.204
2026-04-28T21:31:14.990220,27.1,0.1833,39.72,0.0245,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:14.989764,4.203
2026-04-28T21:31:15.055733,27.1,0.1867,39.75,0.0273,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:15.055573,4.203
2026-04-28T21:31:15.131824,27.1,0.1867,39.76,0.0283,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:15.131674,4.203
2026-04-28T21:31:16.042805,27.1,0.1867,39.8,0.0287,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:16.042614,4.203
2026-04-28T21:31:16.095836,27.1,0.1867,39.79,0.0293,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:16.095687,4.203
2026-04-28T21:31:16.158941,27.1,0.1867,39.79,0.0296,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:16.158777,4.203
2026-04-28T21:31:17.110090,27.1,0.1867,39.81,0.0294,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:17.109906,4.203
2026-04-28T21:31:17.162439,27.1,0.1867,39.8,0.0297,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:17.162284,4.203
2026-04-28T21:31:17.214348,27.1,0.1867,39.79,0.0298,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:17.214200,4.203
2026-04-28T21:31:18.152987,27.1,0.1759,39.8,0.029,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:18.152636,4.203
2026-04-28T21:31:18.205976,27.1,0.185,39.79,0.0293,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:18.205727,4.203
2026-04-28T21:31:18.259517,27.1,0.185,39.79,0.0294,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:18.259339,4.204
2026-04-28T21:31:19.282984,27.1,0.1885,39.8,0.0291,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:19.282732,4.204
2026-04-28T21:31:19.343956,27.1,0.1885,39.8,0.0296,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:19.343786,4.204
2026-04-28T21:31:20.247431,27.1,0.1885,39.82,0.0293,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:20.246988,4.204
2026-04-28T21:31:20.342812,27.1,0.1885,39.8,0.0298,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:20.342431,4.204
2026-04-28T21:31:20.443756,27.1,0.1885,39.79,0.03,1000.0,0.0,4.199,99.5,100,0,60.0,2026-04-28T21:32:20.443458,4.204
