timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-26T22:23:56.037569,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T22:24:56.037367,4.187
2026-04-26T22:23:56.147613,46.81,0.0453,11.2,0.0056,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T22:24:56.147476,4.199
2026-04-26T22:23:56.169572,46.81,0.3109,27.57,0.1268,1000.0,0.0,0,95.1,100,0,60.0,2026-04-26T22:24:56.169485,4.203
2026-04-26T22:23:56.188321,46.81,0.3109,33.84,0.1823,1000.0,0.0,4.199,95.1,100,0,60.0,2026-04-26T22:24:56.188235,4.205
2026-04-26T22:23:57.197554,46.82,0.2829,42.22,0.2559,1000.0,0.0,4.199,95.1,100,0,60.0,2026-04-26T22:24:57.197436,4.204
2026-04-26T22:23:57.225345,46.82,0.3073,43.88,0.2777,1000.0,0.33,4.204,95.1,100,0,60.0,2026-04-26T22:24:57.225266,4.533
2026-04-26T22:23:57.250318,46.82,0.3073,45.1,0.2879,1000.0,0.33,4.199,95.1,100,0,60.0,2026-04-26T22:24:57.250237,4.533
2026-04-26T22:23:58.275848,46.82,0.2861,46.75,0.2929,1000.0,0.33,4.199,95.1,100,0,60.0,2026-04-26T22:24:58.275736,4.538
2026-04-26T22:23:58.305962,46.82,0.2861,47.55,0.292,1000.0,0.25,4.203,95.1,100,0,60.0,2026-04-26T22:24:58.305848,4.459
2026-04-26T22:23:59.300252,46.82,0.2861,47.88,0.2911,1000.0,0.25,4.199,95.1,100,0,60.0,2026-04-26T22:24:59.299973,4.462
2026-04-26T22:23:59.339381,46.83,0.2861,48.12,0.2903,1000.0,0.25,4.203,95.1,100,0,60.0,2026-04-26T22:24:59.339286,4.461
2026-04-26T22:23:59.367581,46.83,0.2861,48.21,0.2901,1000.0,0.25,4.199,95.1,100,0,60.0,2026-04-26T22:24:59.367493,4.46
2026-04-26T22:24:00.357419,46.83,0.2861,48.29,0.2899,1000.0,0.25,4.199,95.1,100,0,60.0,2026-04-26T22:25:00.357255,4.463
2026-04-26T22:24:00.393538,46.83,0.2829,48.58,0.2878,1000.0,0.19,4.202,95.1,100,0,60.0,2026-04-26T22:25:00.393419,4.402
2026-04-26T22:24:00.419949,46.83,0.2829,48.59,0.2875,1000.0,0.19,4.199,95.1,100,0,60.0,2026-04-26T22:25:00.419852,4.401
2026-04-26T22:24:01.409586,46.83,0.278,48.62,0.2865,1000.0,0.19,4.199,95.1,100,0,60.0,2026-04-26T22:25:01.409446,4.402
2026-04-26T22:24:01.441322,46.83,0.2929,48.84,0.2908,1000.0,0.14,4.201,95.1,100,0,60.0,2026-04-26T22:25:01.441204,4.352
2026-04-26T22:24:01.467042,46.83,0.2929,48.84,0.293,1000.0,0.14,4.199,95.1,100,0,60.0,2026-04-26T22:25:01.466968,4.351
2026-04-26T22:24:02.453865,46.83,0.2964,48.85,0.2961,1000.0,0.14,4.199,95.1,100,0,60.0,2026-04-26T22:25:02.453678,4.352
2026-04-26T22:24:02.487199,46.83,0.2996,48.98,0.2998,1000.0,0.11,4.201,95.1,100,0,60.0,2026-04-26T22:25:02.487092,4.321
2026-04-26T22:24:02.513835,46.83,0.2996,48.98,0.3012,1000.0,0.11,4.199,95.1,100,0,60.0,2026-04-26T22:25:02.513678,4.32
2026-04-26T22:24:03.516991,46.83,0.2996,48.99,0.3032,1000.0,0.11,4.199,95.1,100,0,60.0,2026-04-26T22:25:03.516830,4.321
2026-04-26T22:24:03.557025,46.83,0.2996,49.12,0.304,1000.0,0.08,4.2,95.1,100,0,60.0,2026-04-26T22:25:03.556916,4.29
2026-04-26T22:24:04.535555,46.83,0.2996,49.15,0.3043,1000.0,0.08,4.199,95.1,100,0,60.0,2026-04-26T22:25:04.535358,4.291
2026-04-26T22:24:04.577892,46.83,0.2947,49.22,0.3024,1000.0,0.06,4.2,95.1,100,0,60.0,2026-04-26T22:25:04.577763,4.271
2026-04-26T22:24:04.606176,46.83,0.2947,49.21,0.3015,1000.0,0.06,4.199,95.1,100,0,60.0,2026-04-26T22:25:04.606092,4.27
2026-04-26T22:24:05.583704,46.83,0.2947,49.23,0.3008,1000.0,0.06,4.199,95.1,100,0,60.0,2026-04-26T22:25:05.583539,4.271
2026-04-26T22:24:05.612455,46.83,0.2947,49.32,0.3001,1000.0,0.04,4.199,95.1,100,0,60.0,2026-04-26T22:25:05.612360,4.25
2026-04-26T22:24:05.638875,46.83,0.2947,49.31,0.3001,1000.0,0.04,4.199,95.1,100,0,60.0,2026-04-26T22:25:05.638759,4.249
2026-04-26T22:24:06.634694,46.83,0.2913,49.33,0.2996,1000.0,0.04,4.199,95.1,100,0,60.0,2026-04-26T22:25:06.634549,4.249
2026-04-26T22:24:06.664839,46.83,0.2955,49.32,0.2998,1000.0,0.04,4.199,95.1,100,0,60.0,2026-04-26T22:25:06.664679,4.249
2026-04-26T22:24:06.693431,46.83,0.2955,49.31,0.3002,1000.0,0.04,4.199,95.1,100,0,60.0,2026-04-26T22:25:06.693338,4.249
2026-04-26T22:24:07.698372,46.83,0.2955,49.33,0.3007,1000.0,0.04,4.199,95.1,100,0,60.0,2026-04-26T22:25:07.698183,4.249
2026-04-26T22:24:07.729616,46.83,0.2991,48.95,0.3016,1000.0,0.12,4.201,95.1,100,0,60.0,2026-04-26T22:25:07.729513,4.328
2026-04-26T22:24:07.757391,46.83,0.2991,48.94,0.3023,1000.0,0.12,4.199,95.1,100,0,60.0,2026-04-26T22:25:07.757267,4.328
2026-04-26T22:24:08.753114,46.83,0.2991,48.95,0.3033,1000.0,0.12,4.199,95.1,100,0,60.0,2026-04-26T22:25:08.752937,4.329
2026-04-26T22:24:08.785504,46.83,0.2991,48.95,0.3035,1000.0,0.12,4.201,95.1,100,0,60.0,2026-04-26T22:25:08.785388,4.329
2026-04-26T22:24:09.771623,46.83,0.2991,48.97,0.3038,1000.0,0.12,4.199,95.1,100,0,60.0,2026-04-26T22:25:09.771426,4.33
